Dates,Monetary Base
0/01/2003,37.418
31/01/2003,37.414
01/02/2003,37.306
02/02/2003,37.306
03/02/2003,37.197
04/02/2003,37.156
05/02/2003,37.125
06/02/2003,37.108
07/02/2003,37.093
08/02/2003,37.082
09/02/2003,37.073
10/02/2003,37.022
11/02/2003,36.985
12/02/2003,36.965
13/02/2003,36.950
14/02/2003,36.943
15/02/2003,36.936
16/02/2003,36.930
17/02/2003,36.924
18/02/2003,36.923
19/02/2003,36.926
20/02/2003,36.969
21/02/2003,37.011
22/02/2003,37.048
23/02/2003,37.083
24/02/2003,37.115
25/02/2003,37.149
26/02/2003,37.179
27/02/2003,37.207
28/02/2003,37.234
01/03/2003,37.978
02/03/2003,37.978
03/03/2003,37.992
04/03/2003,38.009
05/03/2003,37.984
06/03/2003,37.970
07/03/2003,37.954
08/03/2003,37.942
09/03/2003,37.933
10/03/2003,37.933
11/03/2003,37.930
12/03/2003,37.937
13/03/2003,37.942
14/03/2003,37.944
15/03/2003,37.946
16/03/2003,37.948
17/03/2003,37.953
18/03/2003,37.958
19/03/2003,37.964
20/03/2003,37.973
21/03/2003,37.982
22/03/2003,37.991
23/03/2003,37.999
24/03/2003,38.009
25/03/2003,38.020
26/03/2003,38.030
27/03/2003,38.041
28/03/2003,38.052
29/03/2003,38.062
30/03/2003,38.071
31/03/2003,38.080
01/04/2003,38.347
02/04/2003,38.342
03/04/2003,38.378
04/04/2003,38.378
05/04/2003,38.378
06/04/2003,38.378
07/04/2003,38.382
08/04/2003,38.386
09/04/2003,38.401
10/04/2003,38.418
11/04/2003,38.428
12/04/2003,38.436
13/04/2003,38.442
14/04/2003,38.449
15/04/2003,38.455
16/04/2003,38.460
17/04/2003,38.464
18/04/2003,38.467
19/04/2003,38.470
20/04/2003,38.473
21/04/2003,38.477
22/04/2003,38.488
23/04/2003,38.497
24/04/2003,38.506
25/04/2003,38.508
26/04/2003,38.510
27/04/2003,38.512
28/04/2003,38.516
29/04/2003,38.524
30/04/2003,38.545
01/05/2003,39.149
02/05/2003,39.264
03/05/2003,39.302
04/05/2003,39.322
05/05/2003,39.373
06/05/2003,39.431
07/05/2003,39.462
08/05/2003,39.534
09/05/2003,39.645
10/05/2003,39.734
11/05/2003,39.806
12/05/2003,39.880
13/05/2003,39.961
14/05/2003,40.023
15/05/2003,40.081
16/05/2003,40.141
17/05/2003,40.194
18/05/2003,40.241
19/05/2003,40.286
20/05/2003,40.339
21/05/2003,40.383
22/05/2003,40.423
23/05/2003,40.452
24/05/2003,40.478
25/05/2003,40.502
26/05/2003,40.524
27/05/2003,40.543
28/05/2003,40.555
29/05/2003,40.567
30/05/2003,40.576
31/05/2003,40.585
01/06/2003,40.840
02/06/2003,40.885
03/06/2003,40.918
04/06/2003,40.941
05/06/2003,40.973
06/06/2003,41.011
07/06/2003,41.038
08/06/2003,41.059
09/06/2003,41.097
10/06/2003,41.150
11/06/2003,41.181
12/06/2003,41.236
13/06/2003,41.319
14/06/2003,41.390
15/06/2003,41.451
16/06/2003,41.505
17/06/2003,41.566
18/06/2003,41.628
19/06/2003,41.683
20/06/2003,41.736
21/06/2003,41.784
22/06/2003,41.828
23/06/2003,41.879
24/06/2003,41.935
25/06/2003,41.982
26/06/2003,42.031
27/06/2003,42.070
28/06/2003,42.107
29/06/2003,42.141
30/06/2003,42.174
01/07/2003,43.318
02/07/2003,43.232
03/07/2003,43.257
04/07/2003,43.229
05/07/2003,43.213
06/07/2003,43.202
07/07/2003,43.216
08/07/2003,43.240
09/07/2003,43.258
10/07/2003,43.262
11/07/2003,43.253
12/07/2003,43.245
13/07/2003,43.239
14/07/2003,43.239
15/07/2003,43.249
16/07/2003,43.241
17/07/2003,43.215
18/07/2003,43.192
19/07/2003,43.171
20/07/2003,43.152
21/07/2003,43.141
22/07/2003,43.136
23/07/2003,43.125
24/07/2003,43.123
25/07/2003,43.119
26/07/2003,43.115
27/07/2003,43.111
28/07/2003,43.109
29/07/2003,43.110
30/07/2003,43.105
31/07/2003,43.100
01/08/2003,43.044
02/08/2003,43.044
03/08/2003,43.044
04/08/2003,42.929
05/08/2003,42.861
06/08/2003,42.797
07/08/2003,42.752
08/08/2003,42.710
09/08/2003,42.678
10/08/2003,42.652
11/08/2003,42.646
12/08/2003,42.645
13/08/2003,42.677
14/08/2003,42.706
15/08/2003,42.727
16/08/2003,42.745
17/08/2003,42.761
18/08/2003,42.775
19/08/2003,42.801
20/08/2003,42.824
21/08/2003,42.848
22/08/2003,42.862
23/08/2003,42.876
24/08/2003,42.888
25/08/2003,42.899
26/08/2003,42.911
27/08/2003,42.921
28/08/2003,42.930
29/08/2003,42.943
30/08/2003,42.956
31/08/2003,42.967
01/09/2003,43.320
02/09/2003,43.302
03/09/2003,43.280
04/09/2003,43.256
05/09/2003,43.241
06/09/2003,43.230
07/09/2003,43.223
08/09/2003,43.218
09/09/2003,43.222
10/09/2003,43.216
11/09/2003,43.148
12/09/2003,43.085
13/09/2003,43.031
14/09/2003,42.985
15/09/2003,42.947
16/09/2003,42.913
17/09/2003,42.880
18/09/2003,42.854
19/09/2003,42.838
20/09/2003,42.824
21/09/2003,42.811
22/09/2003,42.798
23/09/2003,42.787
24/09/2003,42.773
25/09/2003,42.761
26/09/2003,42.743
27/09/2003,42.727
28/09/2003,42.712
29/09/2003,42.699
30/09/2003,42.711
01/10/2003,43.578
02/10/2003,43.558
03/10/2003,43.549
04/10/2003,43.545
05/10/2003,43.542
06/10/2003,43.539
07/10/2003,43.548
08/10/2003,43.559
09/10/2003,43.575
10/10/2003,43.591
11/10/2003,43.604
12/10/2003,43.615
13/10/2003,43.624
14/10/2003,43.623
15/10/2003,43.630
16/10/2003,43.639
17/10/2003,43.649
18/10/2003,43.659
19/10/2003,43.667
20/10/2003,43.680
21/10/2003,43.695
22/10/2003,43.711
23/10/2003,43.728
24/10/2003,43.746
25/10/2003,43.762
26/10/2003,43.777
27/10/2003,43.793
28/10/2003,43.813
29/10/2003,43.835
30/10/2003,43.859
31/10/2003,43.882
01/11/2003,44.577
02/11/2003,44.577
03/11/2003,44.530
04/11/2003,44.503
05/11/2003,44.472
06/11/2003,44.451
07/11/2003,44.439
08/11/2003,44.431
09/11/2003,44.424
10/11/2003,44.430
11/11/2003,44.435
12/11/2003,44.446
13/11/2003,44.459
14/11/2003,44.473
15/11/2003,44.486
16/11/2003,44.496
17/11/2003,44.513
18/11/2003,44.531
19/11/2003,44.554
20/11/2003,44.579
21/11/2003,44.602
22/11/2003,44.623
23/11/2003,44.643
24/11/2003,44.663
25/11/2003,44.685
26/11/2003,44.706
27/11/2003,44.725
28/11/2003,44.746
29/11/2003,44.766
30/11/2003,44.785
01/12/2003,45.423
02/12/2003,45.440
03/12/2003,45.462
04/12/2003,45.490
05/12/2003,45.530
06/12/2003,45.556
07/12/2003,45.575
08/12/2003,45.589
09/12/2003,45.614
10/12/2003,45.634
11/12/2003,45.653
12/12/2003,45.687
13/12/2003,45.716
14/12/2003,45.740
15/12/2003,45.767
16/12/2003,45.795
17/12/2003,45.831
18/12/2003,45.870
19/12/2003,45.914
20/12/2003,45.954
21/12/2003,45.990
22/12/2003,46.027
23/12/2003,46.060
24/12/2003,46.090
25/12/2003,46.118
26/12/2003,46.150
27/12/2003,46.180
28/12/2003,46.208
29/12/2003,46.239
30/12/2003,46.259
31/12/2003,46.273
01/01/2004,46.678
02/01/2004,46.728
03/01/2004,46.745
04/01/2004,46.754
05/01/2004,46.761
06/01/2004,46.785
07/01/2004,46.785
08/01/2004,46.799
09/01/2004,46.821
10/01/2004,46.839
11/01/2004,46.854
12/01/2004,46.873
13/01/2004,46.879
14/01/2004,46.882
15/01/2004,46.896
16/01/2004,46.914
17/01/2004,46.930
18/01/2004,46.945
19/01/2004,46.960
20/01/2004,46.977
21/01/2004,46.984
22/01/2004,46.982
23/01/2004,46.987
24/01/2004,46.992
25/01/2004,46.996
26/01/2004,47.002
